"ID_INDIV","GENDER","DAY","pa_gral","na_gral","V1RelSat"
3241,"male",4,2.1,1.9,6.16666666666667
3241,"male",5,3.6,1.2,6.16666666666667
3241,"male",6,1.1,2.5,6.16666666666667
3241,"male",7,2.1,1.6,6.16666666666667
3241,"male",8,4.5,1.1,6.16666666666667
3241,"male",9,2.4,2,6.16666666666667
3241,"male",10,4.2,1.4,6.16666666666667
3241,"male",11,2.6,1.8,6.16666666666667
3241,"male",12,3,1.8,6.16666666666667
3241,"male",13,3.3,1.2,6.16666666666667
3242,"female",1,1.7,2.3,6.66666666666667
3242,"female",2,2.1,2.5,6.66666666666667
3242,"female",3,2.2,1.7,6.66666666666667
3242,"female",4,1.9,2.5,6.66666666666667
3242,"female",5,2.3,2,6.66666666666667
3242,"female",6,3.1,1.2,6.66666666666667
3242,"female",7,2.8,1.1,6.66666666666667
3242,"female",8,1.3,1.3,6.66666666666667
3242,"female",9,3.2,1.3,6.66666666666667
3242,"female",10,3,1.2,6.66666666666667
3242,"female",11,2.8,2,6.66666666666667
3242,"female",12,1.2,1.6,6.66666666666667
3242,"female",13,2.1,2,6.66666666666667
3242,"female",14,3.7,1.5,6.66666666666667
3251,"male",1,2.2,2.2,5.5
3251,"male",2,2.3,2.7,5.5
3251,"male",3,1.9,2,5.5
3251,"male",4,2.4,1.6,5.5
3251,"male",5,2.2,1.4,5.5
3251,"male",6,2,2.4,5.5
3251,"male",7,1.5,2.3,5.5
3251,"male",8,1.8,2.7,5.5
3251,"male",9,1.1,2.7,5.5
3251,"male",10,2.1,1.2,5.5
3251,"male",11,1.9,2.3,5.5
3251,"male",12,1.9,1.7,5.5
3251,"male",13,1.6,1.6,5.5
3251,"male",14,2.3,1.7,5.5
3251,"male",15,2.4,1.9,5.5
3251,"male",16,2,1.5,5.5
3251,"male",17,1.8,1.5,5.5
3251,"male",18,2.1,1.8,5.5
3251,"male",19,1.9,1.5,5.5
3251,"male",20,2.2,1.8,5.5
3251,"male",21,1.9,2.1,5.5
3251,"male",22,2,2,5.5
3251,"male",23,1.6,1.4,5.5
3251,"male",24,1.5,2.1,5.5
3251,"male",25,1,1.9,5.5
3251,"male",26,2.1,1.3,5.5
3251,"male",27,2.1,1.3,5.5
3251,"male",28,1.7,1.6,5.5
3251,"male",29,2.5,1.1,5.5
3251,"male",30,2.5,1,5.5
3251,"male",31,2,1.7,5.5
3251,"male",32,1.6,1.8,5.5
3251,"male",33,1.7,1.6,5.5
3251,"male",34,1.9,1.8,5.5
3251,"male",35,2.3,1.7,5.5
3251,"male",36,2,1.9,5.5
3251,"male",37,1.6,1.4,5.5
3251,"male",38,1.3,1.6,5.5
3251,"male",39,2.4,1.6,5.5
3251,"male",40,2,1.8,5.5
3251,"male",41,1,2.7,5.5
3251,"male",42,2.2,1.6,5.5
3251,"male",43,1.6,1.8,5.5
3251,"male",44,1.6,1.8,5.5
3251,"male",45,2.2,1.7,5.5
3251,"male",46,2.1,1.8,5.5
3251,"male",47,2,1.8,5.5
3251,"male",48,2.4,1.4,5.5
3251,"male",49,2,1.7,5.5
3251,"male",50,2.1,1.6,5.5
3251,"male",51,1.9,1.7,5.5
3251,"male",52,1.7,1.1,5.5
3251,"male",53,1.9,1.7,5.5
3251,"male",54,1.6,1.7,5.5
3251,"male",55,1.5,1.2,5.5
3252,"female",1,3.5,1.2,6.5
3252,"female",2,2.9,1.6,6.5
3252,"female",3,2.6,3,6.5
3252,"female",4,3.1,1.1,6.5
3252,"female",5,2.7,1.3,6.5
3252,"female",6,3.2,1.3,6.5
3252,"female",7,2.9,2.1,6.5
3252,"female",8,2.4,2.7,6.5
3252,"female",9,1.3,2.1,6.5
3252,"female",10,1.6,2.3,6.5
3252,"female",11,1.8,2,6.5
3252,"female",12,2.3,3,6.5
3252,"female",13,2.5,1.6,6.5
3252,"female",14,2.6,1.6,6.5
3252,"female",15,2.1,1.5,6.5
3252,"female",16,2.2,2.5,6.5
3252,"female",17,2.9,1,6.5
3252,"female",18,2.8,1,6.5
3252,"female",19,2.5,1.2,6.5
3252,"female",20,2.1,1.3,6.5
3252,"female",21,2.8,1.7,6.5
3252,"female",22,3.5,1.5,6.5
3252,"female",23,2.2,2.4,6.5
3252,"female",24,2.3,3.2,6.5
3252,"female",25,1.9,1.3,6.5
3252,"female",26,1.7,1.7,6.5
3252,"female",27,2,1.3,6.5
3252,"female",28,2.8,1.1,6.5
3252,"female",29,2.6,1,6.5
3252,"female",30,2.5,1.2,6.5
